year,scenario,n_primary_transactions,n_secondary_transactions_official_fragment,n_secondary_transactions_proxy,n_secondary_transactions_used,p_primary_buy_kitchen,p_secondary_buy_kitchen,estimated_kitchen_clients,aov_rub,estimated_market_value_rub,estimated_market_value_billion_rub
2024,conservative,11420,14535,22168,16825,0.7,0.15,10518,220000,2313960000,2.314
2024,base_min,11420,14535,22168,14535,0.82,0.25,12998,270000,3509460000,3.509
2024,base,11420,14535,22168,16825,0.82,0.25,13571,300000,4071300000,4.071
2024,base_max,11420,14535,22168,22168,0.82,0.25,14906,340000,5068040000,5.068
2024,aggressive,11420,14535,22168,16825,0.9,0.35,16167,390000,6305130000,6.305
2025,conservative,11900,10553,23100,14317,0.7,0.15,10478,240000,2514720000,2.515
2025,base_min,11900,10553,23100,10553,0.82,0.25,12396,300000,3718800000,3.719
2025,base,11900,10553,23100,14317,0.82,0.25,13337,330000,4401210000,4.401
2025,base_max,11900,10553,23100,23100,0.82,0.25,15533,380000,5902540000,5.903
2025,aggressive,11900,10553,23100,14317,0.9,0.35,15721,430000,6760030000,6.76
